Sensor,MAC,Reference MAC,Adjustment
Temperature(°C),00:0D:6F:20:D4:68,90:FD:9F:7B:84:FD,-0.778
Temperature(°C),90:FD:9F:7B:84:EA,90:FD:9F:7B:84:FD,-0.342
Temperature(°C),90:FD:9F:7B:83:D6,90:FD:9F:7B:84:FD,0.065
Temperature(°C),90:FD:9F:7B:81:06,90:FD:9F:7B:84:FD,0.100
Temperature(°C),00:0B:57:64:8C:41,90:FD:9F:7B:84:FD,0.045
Ambient light(x),00:0D:6F:20:D4:68,90:FD:9F:7B:81:06,-1.315
Ambient light(x),90:FD:9F:7B:84:EA,90:FD:9F:7B:81:06,0.490
Ambient light(x),90:FD:9F:7B:84:FD,90:FD:9F:7B:81:06,1.548
Ambient light(x),90:FD:9F:7B:85:2B,90:FD:9F:7B:81:06,4.088
Ambient light(x),90:FD:9F:7B:83:D6,90:FD:9F:7B:81:06,0.693
Ambient light(x),00:0B:57:64:8C:41,90:FD:9F:7B:81:06,-5.422
Pressure(mbar),00:0D:6F:20:D4:68,90:FD:9F:7B:81:06,0.267
Pressure(mbar),90:FD:9F:7B:84:EA,90:FD:9F:7B:81:06,0.293
Pressure(mbar),90:FD:9F:7B:84:FD,90:FD:9F:7B:81:06,-0.808
Pressure(mbar),90:FD:9F:7B:85:2B,90:FD:9F:7B:81:06,-0.542
Pressure(mbar),90:FD:9F:7B:83:D6,90:FD:9F:7B:81:06,-0.452
humidity(%),00:0D:6F:20:D4:68,90:FD:9F:7B:84:FD,0.960
humidity(%),90:FD:9F:7B:84:EA,90:FD:9F:7B:84:FD,-0.099
humidity(%),90:FD:9F:7B:85:2B,90:FD:9F:7B:84:FD,-1.462
humidity(%),90:FD:9F:7B:83:D6,90:FD:9F:7B:84:FD,-0.621
humidity(%),90:FD:9F:7B:81:06,90:FD:9F:7B:84:FD,-0.705
humidity(%),00:0B:57:64:8C:41,90:FD:9F:7B:84:FD,1.858
sound level(dB),00:0D:6F:20:D4:68,90:FD:9F:7B:83:D6,0.726
sound level(dB),90:FD:9F:7B:84:EA,90:FD:9F:7B:83:D6,0.828
sound level(dB),90:FD:9F:7B:84:FD,90:FD:9F:7B:83:D6,0.434
sound level(dB),90:FD:9F:7B:85:2B,90:FD:9F:7B:83:D6,0.557
sound level(dB),90:FD:9F:7B:81:06,90:FD:9F:7B:83:D6,0.469
sound level(dB),00:0B:57:64:8C:41,90:FD:9F:7B:83:D6,-18.196
CO2(ppm),00:0D:6F:20:D4:68,90:FD:9F:7B:84:EA,0.321
CO2(ppm),90:FD:9F:7B:84:FD,90:FD:9F:7B:84:EA,-0.283
CO2(ppm),90:FD:9F:7B:85:2B,90:FD:9F:7B:84:EA,0.074
CO2(ppm),90:FD:9F:7B:83:D6,90:FD:9F:7B:84:EA,-0.012
CO2(ppm),90:FD:9F:7B:81:06,90:FD:9F:7B:84:EA,0.230
CO2(ppm),00:0B:57:64:8C:41,90:FD:9F:7B:84:EA,0.056
VOCs(ppb),00:0D:6F:20:D4:68,90:FD:9F:7B:84:EA,0.484
VOCs(ppb),90:FD:9F:7B:84:FD,90:FD:9F:7B:84:EA,-0.429
VOCs(ppb),90:FD:9F:7B:85:2B,90:FD:9F:7B:84:EA,0.105
VOCs(ppb),90:FD:9F:7B:83:D6,90:FD:9F:7B:84:EA,-0.018
VOCs(ppb),90:FD:9F:7B:81:06,90:FD:9F:7B:84:EA,0.357
VOCs(ppb),00:0B:57:64:8C:41,90:FD:9F:7B:84:EA,0.084
