Sensor,MAC,Reference MAC,Adjustment
Temperature(°C),90:FD:9F:7B:82:50,90:FD:9F:7B:84:67,-0.0967133343674611
Temperature(°C),90:FD:9F:7B:83:D6,90:FD:9F:7B:84:67,-0.015909652095754012
Temperature(°C),00:0D:6F:20:D3:F3,90:FD:9F:7B:84:67,0.4082771102827891
Temperature(°C),90:FD:9F:7B:81:06,90:FD:9F:7B:84:67,-0.22667443352229455
Temperature(°C),00:0D:6F:20:D4:96,90:FD:9F:7B:84:67,-0.04899479341150936
Ambient light(x),90:FD:9F:7B:82:50,00:0D:6F:20:D3:F3,1.8449876371948335
Ambient light(x),90:FD:9F:7B:83:D6,00:0D:6F:20:D3:F3,0.30598978351679307
Ambient light(x),90:FD:9F:7B:83:D1,00:0D:6F:20:D3:F3,29.526582019720536
Ambient light(x),90:FD:9F:7B:81:06,00:0D:6F:20:D3:F3,-34.23022949152198
Ambient light(x),00:0D:6F:20:D4:96,00:0D:6F:20:D3:F3,-31.713197855102635
Ambient light(x),90:FD:9F:7B:84:67,00:0D:6F:20:D3:F3,20.992573848982488
Pressure(mbar),90:FD:9F:7B:82:50,90:FD:9F:7B:83:D6,-1.2475380437393824
Pressure(mbar),00:0D:6F:20:D3:F3,90:FD:9F:7B:83:D6,0.33749324526172586
Pressure(mbar),90:FD:9F:7B:83:D1,90:FD:9F:7B:83:D6,0.6889401577280978
Pressure(mbar),90:FD:9F:7B:81:06,90:FD:9F:7B:83:D6,0.4812149266981578
Pressure(mbar),00:0D:6F:20:D4:96,90:FD:9F:7B:83:D6,0.2481404360353281
Pressure(mbar),90:FD:9F:7B:84:67,90:FD:9F:7B:83:D6,-0.3906255146644071
humidity(%),90:FD:9F:7B:82:50,90:FD:9F:7B:83:D6,0.05769303118213287
humidity(%),00:0D:6F:20:D3:F3,90:FD:9F:7B:83:D6,-1.1834162295303798
humidity(%),90:FD:9F:7B:81:06,90:FD:9F:7B:83:D6,0.36152620950105074
humidity(%),00:0D:6F:20:D4:96,90:FD:9F:7B:83:D6,-0.7503124404036541
humidity(%),90:FD:9F:7B:84:67,90:FD:9F:7B:83:D6,0.40676726195545854
sound level(dB),90:FD:9F:7B:83:D6,90:FD:9F:7B:82:50,-0.4848821212721752
sound level(dB),00:0D:6F:20:D3:F3,90:FD:9F:7B:82:50,0.1633749220432641
sound level(dB),90:FD:9F:7B:83:D1,90:FD:9F:7B:82:50,0.11164573978037495
sound level(dB),90:FD:9F:7B:81:06,90:FD:9F:7B:82:50,0.22773157062630034
sound level(dB),00:0D:6F:20:D4:96,90:FD:9F:7B:82:50,0.31757133407499794
sound level(dB),90:FD:9F:7B:84:67,90:FD:9F:7B:82:50,0.21066456768908282
CO2(ppm),90:FD:9F:7B:82:50,00:0D:6F:20:D3:F3,-33.994369389363555
CO2(ppm),90:FD:9F:7B:83:D6,00:0D:6F:20:D3:F3,223.70503226223366
CO2(ppm),90:FD:9F:7B:83:D1,00:0D:6F:20:D3:F3,-214.4983818143197
CO2(ppm),90:FD:9F:7B:81:06,00:0D:6F:20:D3:F3,243.44237212156872
CO2(ppm),90:FD:9F:7B:84:67,00:0D:6F:20:D3:F3,-26.10989546823373
VOCs(ppb),90:FD:9F:7B:82:50,00:0D:6F:20:D3:F3,-0.5152008000238331
VOCs(ppb),90:FD:9F:7B:83:D6,00:0D:6F:20:D3:F3,3.40827442743338
VOCs(ppb),90:FD:9F:7B:83:D1,00:0D:6F:20:D3:F3,-3.2682146154313028
VOCs(ppb),90:FD:9F:7B:81:06,00:0D:6F:20:D3:F3,3.702864649048955
VOCs(ppb),90:FD:9F:7B:84:67,00:0D:6F:20:D3:F3,-0.3995530681920956
