Unnamed: 0,Timestamp,Temperature(°C),UV index,Ambient light(x),Pressure(mbar),humidity(%),sound level(dB),CO2(ppm),VOCs(ppb),magnetic field(μT)
0,2024-07-09T01:11:17.464160,27.45,0,0.34,1016.965,34.97,22.46,6.17,3.3,72
1,2024-07-09T01:11:19.792735,27.45,0,0.34,1016.98,34.97,23.67,6.17,3.3,46
2,2024-07-09T01:11:22.084015,27.45,0,0.34,1016.98,34.97,23.67,6.23,3.3,0
3,2024-07-09T01:11:24.376112,27.45,0,0.34,1016.98,34.97,22.54,6.23,3.3,102
4,2024-07-09T01:11:26.666496,27.44,0,0.31,1016.973,34.98,23.28,6.23,3.3,156
5,2024-07-09T01:11:28.957798,27.44,0,0.31,1016.962,34.98,22.54,6.23,3.3,-55
6,2024-07-09T01:11:31.250668,27.44,0,0.31,1016.962,34.98,22.54,6.23,3.3,16
7,2024-07-09T01:11:33.540460,27.45,0,0.28,1016.945,34.98,23.28,6.23,3.3,25
8,2024-07-09T01:11:35.831607,27.45,0,0.28,1016.924,34.98,23.28,5.8,2.7,-52
9,2024-07-09T01:11:38.123748,27.46,0,0.34,1016.912,34.98,23.65,5.8,2.7,21
10,2024-07-09T01:11:40.463565,27.46,0,0.31,1016.912,34.98,24.32,5.8,2.7,83
11,2024-07-09T01:11:42.754236,27.46,0,0.31,1016.912,34.98,23.65,6.38,3.6,75
12,2024-07-09T01:11:45.142971,27.46,0,0.31,1016.941,34.97,23.65,6.38,3.6,97
13,2024-07-09T01:11:47.434399,27.47,0,0.31,1016.946,34.97,23.84,6.38,3.6,25
14,2024-07-09T01:11:49.725510,27.47,0,0.31,1016.946,34.97,23.84,6.38,3.6,30
15,2024-07-09T01:11:52.016768,27.46,0,0.31,1016.941,34.97,22.45,6.38,3.6,-55
16,2024-07-09T01:11:54.308811,27.46,0,0.31,1016.946,34.97,22.45,6.38,3.6,147
17,2024-07-09T01:11:56.599293,27.45,0,0.31,1016.946,34.97,22.45,6.02,3.0,36
18,2024-07-09T01:11:58.890557,27.45,0,0.31,1016.936,34.98,21.8,6.02,3.0,67
19,2024-07-09T01:12:01.231096,27.45,0,0.31,1016.948,35.0,21.8,6.02,3.0,72
20,2024-07-09T01:12:03.521912,27.45,0,0.31,1016.948,35.0,22.25,6.02,3.0,-35
21,2024-07-09T01:12:05.910663,27.45,0,0.31,1016.936,35.0,22.25,6.23,3.3,-8
22,2024-07-09T01:12:08.202672,27.47,0,0.31,1016.932,35.0,22.25,6.23,3.3,55
23,2024-07-09T01:12:10.493318,27.47,0,0.37,1016.932,35.0,22.43,6.23,3.3,5
24,2024-07-09T01:12:12.784478,27.47,0,0.37,1016.932,34.98,22.43,6.23,3.3,88
25,2024-07-09T01:12:15.075688,27.47,0,0.37,1016.94,34.99,22.43,6.23,3.3,5
26,2024-07-09T01:12:17.367885,27.44,0,0.37,1016.947,34.99,22.43,5.94,2.9,18
27,2024-07-09T01:12:19.658245,27.44,0,0.37,1016.947,34.98,22.43,5.94,2.9,46
28,2024-07-09T01:12:21.998295,27.44,0,0.37,1016.947,34.98,22.2,5.94,2.9,-18
29,2024-07-09T01:12:24.290423,27.44,0,0.37,1016.947,34.99,22.76,5.94,2.9,28
30,2024-07-09T01:12:26.580888,27.45,0,0.37,1016.945,34.99,22.95,6.38,3.6,68
31,2024-07-09T01:12:28.872227,27.45,0,0.31,1016.945,34.99,22.95,6.38,3.6,13
32,2024-07-09T01:12:31.163428,27.46,0,0.28,1016.945,34.99,22.2,6.38,3.6,-16
33,2024-07-09T01:12:33.455148,27.46,0,0.28,1016.945,35.0,21.68,6.38,3.6,60
34,2024-07-09T01:12:35.745947,27.46,0,0.31,1016.945,35.0,21.68,6.23,3.3,41
35,2024-07-09T01:12:38.037182,27.46,0,0.31,1016.93,35.0,21.68,6.23,3.3,38
36,2024-07-09T01:12:40.329198,27.46,0,0.28,1016.975,35.0,21.68,6.23,3.3,112
37,2024-07-09T01:12:42.619786,27.45,0,0.09,1016.975,35.0,22.74,6.23,3.3,21
38,2024-07-09T01:12:44.910908,27.45,0,0.09,1016.975,34.98,23.31,6.23,3.3,35
39,2024-07-09T01:12:47.203060,27.45,0,0.09,1016.952,34.98,22.74,6.38,3.6,-30
40,2024-07-09T01:12:49.493674,27.45,0,0.09,1016.962,34.98,22.08,6.38,3.6,11
41,2024-07-09T01:12:51.784854,27.45,0,0.28,1016.962,34.98,22.08,6.38,3.6,75
42,2024-07-09T01:12:54.076160,27.46,0,0.37,1016.962,34.98,22.08,6.38,3.6,-21
43,2024-07-09T01:12:56.368255,27.46,0,0.37,1016.966,34.99,22.08,6.45,3.7,100
44,2024-07-09T01:12:58.658696,27.47,0,0.37,1016.966,34.99,23.33,6.45,3.7,102
45,2024-07-09T01:13:00.998670,27.46,0,0.37,1016.966,34.98,23.46,6.45,3.7,-1
46,2024-07-09T01:13:03.290257,27.46,0,0.37,1016.966,34.97,23.46,6.45,3.7,95
47,2024-07-09T01:13:05.581225,27.46,0,0.37,1016.966,34.97,23.46,6.45,3.7,36
48,2024-07-09T01:13:07.872592,27.46,0,0.37,1016.957,34.97,23.46,6.17,3.3,8
49,2024-07-09T01:13:10.163798,27.46,0,0.03,1016.949,34.97,23.86,6.17,3.3,-6
50,2024-07-09T01:13:12.601253,27.46,0,0.31,1016.949,34.97,23.86,6.17,3.3,33
51,2024-07-09T01:13:14.892245,27.46,0,0.31,1016.948,34.97,23.08,6.17,3.3,75
