Unnamed: 0,Timestamp,Temperature(°C),UV index,Ambient light(x),Pressure(mbar),humidity(%),sound level(dB),CO2(ppm),VOCs(ppb),magnetic field(μT)
0,2024-07-08T20:10:55.426723,27.89,0,13.45,1015.434,33.77,23.46,4.56,0.8,5
1,2024-07-08T20:10:57.755945,27.91,0,13.76,1015.448,33.79,23.46,4.56,0.8,-124
2,2024-07-08T20:11:00.095848,27.92,0,13.76,1015.448,33.79,23.67,4.56,0.8,-20
3,2024-07-08T20:11:02.387382,27.92,0,13.7,1015.448,33.8,23.67,4.56,0.8,-13
4,2024-07-08T20:11:04.678450,27.92,0,13.7,1015.448,33.8,23.67,4.56,0.8,-125
5,2024-07-08T20:11:07.018440,27.92,0,13.51,1015.448,33.8,22.71,4.56,0.8,-30
6,2024-07-08T20:11:09.359337,27.92,0,13.45,1015.445,33.79,22.24,4.59,0.8,-62
7,2024-07-08T20:11:11.649716,27.92,0,13.45,1015.445,33.78,21.8,4.59,0.8,-70
8,2024-07-08T20:11:13.941005,27.91,0,13.42,1015.445,33.78,21.8,4.59,0.8,-72
9,2024-07-08T20:11:16.233528,27.91,0,13.42,1015.457,33.78,21.8,4.59,0.8,-154
10,2024-07-08T20:11:18.669815,27.89,0,13.48,1015.462,33.78,22.18,4.63,0.9,-124
11,2024-07-08T20:11:20.961060,27.89,0,13.67,1015.462,33.78,22.68,4.63,0.9,-78
12,2024-07-08T20:11:23.253160,27.89,0,13.67,1015.462,33.78,23.61,4.63,0.9,-41
13,2024-07-08T20:11:25.543729,27.9,0,13.67,1015.457,33.79,24.18,4.63,0.9,-53
14,2024-07-08T20:11:27.835104,27.9,0,13.45,1015.451,33.79,24.11,4.63,0.9,-166
15,2024-07-08T20:11:30.126657,27.9,0,13.45,1015.451,33.79,24.18,4.56,0.8,-72
16,2024-07-08T20:11:32.421641,27.9,0,13.45,1015.447,33.79,24.11,4.56,0.8,-120
17,2024-07-08T20:11:34.708625,27.91,0,13.45,1015.451,33.79,24.11,4.56,0.8,-41
18,2024-07-08T20:11:37.048823,27.92,0,13.45,1015.451,33.79,23.74,4.56,0.8,-105
19,2024-07-08T20:11:39.389623,27.93,0,13.76,1015.451,33.79,23.74,4.59,0.8,-40
20,2024-07-08T20:11:41.679940,27.93,0,13.76,1015.451,33.79,23.58,4.59,0.8,-45
21,2024-07-08T20:11:43.971225,27.93,0,13.79,1015.457,33.79,23.58,4.59,0.8,-95
22,2024-07-08T20:11:46.311960,27.93,0,13.79,1015.457,33.79,23.5,4.59,0.8,-55
23,2024-07-08T20:11:48.748754,27.93,0,13.83,1015.457,33.78,23.33,4.5,0.7,-125
24,2024-07-08T20:11:51.040054,27.93,0,13.83,1015.457,33.78,23.33,4.5,0.7,-162
25,2024-07-08T20:11:53.332285,27.93,0,13.83,1015.457,33.78,23.2,4.5,0.7,-87
26,2024-07-08T20:11:55.623036,27.92,0,13.79,1015.45,33.78,23.2,4.5,0.7,-104
27,2024-07-08T20:11:57.913892,27.91,0,13.79,1015.45,33.78,23.2,4.5,0.7,-120
28,2024-07-08T20:12:00.207524,27.89,0,13.73,1015.456,33.78,23.77,4.59,0.8,-132
29,2024-07-08T20:12:02.496606,27.89,0,13.73,1015.456,33.78,22.85,4.59,0.8,-13
30,2024-07-08T20:12:04.836401,27.89,0,13.73,1015.456,33.78,23.73,4.59,0.8,-166
31,2024-07-08T20:12:07.127694,27.89,0,13.67,1015.456,33.78,23.73,4.59,0.8,-125
32,2024-07-08T20:12:09.419528,27.88,0,13.67,1015.456,33.78,23.53,4.59,0.8,-70
33,2024-07-08T20:12:11.710268,27.87,0,13.51,1015.457,33.79,23.53,4.59,0.8,-72
34,2024-07-08T20:12:14.001480,27.87,0,13.6,1015.457,33.81,23.73,4.59,0.8,-3
35,2024-07-08T20:12:16.292987,27.87,0,13.6,1015.466,33.82,23.53,4.59,0.8,-30
