Unnamed: 0,Timestamp,Temperature(°C),UV index,Ambient light(x),Pressure(mbar),humidity(%),sound level(dB),CO2(ppm),VOCs(ppb),magnetic field(μT)
0,2024-07-09T03:11:25.411919,27.01,0,0.06,1017.42,35.86,22.63,6.43,3.7,177
1,2024-07-09T03:11:27.782186,27.01,0,0.06,1017.433,35.87,22.63,6.43,3.7,-174
2,2024-07-09T03:11:30.073448,27.01,0,0.06,1017.436,35.87,22.89,6.43,3.7,176
3,2024-07-09T03:11:32.415313,27.01,0,0.18,1017.436,35.87,22.95,6.43,3.7,-164
4,2024-07-09T03:11:34.704640,27.0,0,0.18,1017.436,35.87,22.95,6.43,3.7,-150
5,2024-07-09T03:11:36.995929,27.0,0,0.21,1017.436,35.88,22.95,6.43,3.7,187
6,2024-07-09T03:11:39.287928,27.0,0,0.28,1017.436,35.88,23.06,6.43,3.7,-211
7,2024-07-09T03:11:41.578502,27.0,0,0.28,1017.425,35.89,23.29,6.43,3.7,-157
8,2024-07-09T03:11:43.869744,26.99,0,0.31,1017.425,35.89,23.29,6.43,3.7,-164
9,2024-07-09T03:11:46.161050,26.99,0,0.28,1017.425,35.9,23.51,6.43,3.7,-134
10,2024-07-09T03:11:48.452884,26.99,0,0.28,1017.431,35.9,23.51,6.43,3.7,167
11,2024-07-09T03:11:50.743505,26.99,0,0.28,1017.436,35.9,22.68,6.29,3.4,-109
12,2024-07-09T03:11:53.035781,26.99,0,0.21,1017.436,35.91,22.48,6.29,3.4,171
13,2024-07-09T03:11:55.327094,26.99,0,0.21,1017.436,35.91,21.69,6.29,3.4,-150
14,2024-07-09T03:11:57.617558,26.98,0,0.31,1017.432,35.91,21.66,6.29,3.4,-157
15,2024-07-09T03:11:59.908701,26.98,0,0.31,1017.432,35.92,21.66,6.5,3.8,169
16,2024-07-09T03:12:02.200738,26.98,0,0.21,1017.432,35.93,21.69,6.5,3.8,-199
17,2024-07-09T03:12:04.491298,26.98,0,0.21,1017.432,35.93,22.96,6.5,3.8,-157
18,2024-07-09T03:12:06.782477,26.98,0,0.21,1017.441,35.93,22.96,6.5,3.8,-186
19,2024-07-09T03:12:09.073737,26.99,0,0.21,1017.441,35.93,22.96,6.57,3.9,-172
20,2024-07-09T03:12:11.367219,26.99,0,0.21,1017.441,35.93,23.3,6.57,3.9,-147
21,2024-07-09T03:12:13.657155,27.0,0,0.21,1017.441,35.93,22.82,6.57,3.9,-186
22,2024-07-09T03:12:15.948413,27.0,0,0.06,1017.42,35.92,22.81,6.57,3.9,-182
23,2024-07-09T03:12:18.288036,27.01,0,0.0,1017.418,35.92,22.81,6.43,3.7,127
24,2024-07-09T03:12:20.578797,27.01,0,0.0,1017.418,35.91,22.55,6.43,3.7,-134
25,2024-07-09T03:12:22.870040,27.01,0,0.0,1017.418,35.91,22.55,6.43,3.7,177
26,2024-07-09T03:12:25.162094,27.01,0,0.03,1017.419,35.91,22.44,6.43,3.7,-199
27,2024-07-09T03:12:27.452227,27.01,0,0.09,1017.431,35.9,22.44,6.43,3.7,189
28,2024-07-09T03:12:29.744215,27.01,0,0.28,1017.452,35.9,22.44,6.43,3.7,203
29,2024-07-09T03:12:32.035162,27.01,0,0.28,1017.452,35.9,22.89,6.43,3.7,-110
