Unnamed: 0,Timestamp,Temperature(°C),UV index,Ambient light(x),Pressure(mbar),humidity(%),sound level(dB),CO2(ppm),VOCs(ppb),magnetic field(μT)
0,2024-07-10T02:14:39.547272,27.95,0,457.84,1021.02,36.56,19.88,897,7.5,-206
1,2024-07-10T02:14:41.847882,27.97,0,457.91,1021.02,36.57,20.36,897,7.5,-105
2,2024-07-10T02:14:44.139662,27.97,0,457.91,1021.02,36.57,20.36,897,7.5,-201
3,2024-07-10T02:14:46.479190,27.97,0,457.91,1021.02,36.57,20.36,897,7.5,-134
4,2024-07-10T02:14:48.770372,27.98,0,457.91,1021.02,36.57,20.36,897,7.5,-140
5,2024-07-10T02:14:51.062514,27.98,0,457.75,1021.026,36.56,20.45,954,8.4,-31
6,2024-07-10T02:14:53.353070,27.98,0,457.75,1021.028,36.56,20.18,954,8.4,179
7,2024-07-10T02:14:55.644339,27.97,0,457.75,1021.028,36.56,20.35,954,8.4,-181
8,2024-07-10T02:14:57.936396,27.97,0,458.43,1021.028,36.56,20.35,954,8.4,-130
9,2024-07-10T02:15:00.226865,27.95,0,458.78,1021.062,36.56,20.35,954,8.4,-169
10,2024-07-10T02:15:02.518129,27.95,0,458.78,1021.062,36.57,20.07,863,7.0,-147
11,2024-07-10T02:15:04.858758,27.96,0,458.78,1021.062,36.57,20.19,863,7.0,-109
12,2024-07-10T02:15:07.149373,27.95,0,458.62,1021.062,36.57,20.06,863,7.0,-208
13,2024-07-10T02:15:09.488952,27.94,0,458.62,1021.04,36.57,19.31,863,7.0,-119
14,2024-07-10T02:15:11.781546,27.95,0,458.41,1021.04,36.57,20.06,1001,9.1,-152
15,2024-07-10T02:15:14.072075,27.95,0,458.41,1021.04,36.57,20.19,1001,9.1,-50
16,2024-07-10T02:15:16.412020,27.94,0,458.41,1021.026,36.57,21.93,1001,9.1,-135
17,2024-07-10T02:15:18.703543,27.94,0,458.13,1021.026,36.57,21.93,1001,9.1,-186
18,2024-07-10T02:15:20.995198,27.95,0,458.13,1021.026,36.57,21.93,975,8.7,-6
19,2024-07-10T02:15:23.285790,27.96,0,458.13,1021.033,36.57,21.67,975,8.7,-125
20,2024-07-10T02:15:25.625782,27.94,0,458.13,1021.033,36.57,21.67,975,8.7,-201
21,2024-07-10T02:15:27.917813,27.94,0,458.13,1021.033,36.57,21.67,975,8.7,-142
22,2024-07-10T02:15:30.208451,27.95,0,458.16,1021.015,36.57,21.91,975,8.7,-150
23,2024-07-10T02:15:32.499634,27.94,0,458.16,1021.015,36.57,21.96,975,8.7,-93
24,2024-07-10T02:15:34.791643,27.94,0,458.09,1021.015,36.58,21.99,975,8.7,-181
25,2024-07-10T02:15:37.082211,27.95,0,458.09,1021.024,36.58,21.99,975,8.7,-58
26,2024-07-10T02:15:39.373319,27.95,0,458.19,1021.028,36.57,21.99,975,8.7,-206
27,2024-07-10T02:15:41.664710,27.95,0,458.38,1021.028,36.57,21.99,902,7.6,-125
28,2024-07-10T02:15:44.004926,27.95,0,458.21,1021.03,36.57,21.73,902,7.6,203
29,2024-07-10T02:15:46.295966,27.95,0,458.21,1021.028,36.57,21.69,902,7.6,-211
30,2024-07-10T02:15:48.587274,27.95,0,458.21,1021.028,36.57,21.73,902,7.6,-201
31,2024-07-10T02:15:50.928412,27.95,0,458.13,1021.03,36.56,21.69,902,7.6,-119
32,2024-07-10T02:15:53.218605,27.95,0,458.13,1021.033,36.56,21.69,918,7.8,-114
33,2024-07-10T02:15:55.607312,27.95,0,458.13,1021.033,36.56,21.59,918,7.8,-98
34,2024-07-10T02:15:57.899055,27.96,0,458.4,1021.039,36.57,21.33,918,7.8,-135
35,2024-07-10T02:16:00.189977,27.96,0,458.78,1021.042,36.57,21.33,918,7.8,-60
