Unnamed: 0,Timestamp,Temperature(°C),UV index,Ambient light(x),Pressure(mbar),humidity(%),sound level(dB),CO2(ppm),VOCs(ppb),magnetic field(μT)
0,2024-07-09T20:14:14.714979,28.57,0,496.07,1018.85,36.41,21.28,414,0.2,100
1,2024-07-09T20:14:17.046651,28.57,0,496.07,1018.85,36.41,22.66,414,0.2,122
2,2024-07-09T20:14:19.403694,28.57,0,496.44,1018.85,36.41,22.66,414,0.2,194
3,2024-07-09T20:14:21.694318,28.57,0,496.47,1018.85,36.41,22.82,414,0.2,105
4,2024-07-09T20:14:24.034767,28.57,0,496.81,1018.85,36.4,22.69,414,0.2,26
5,2024-07-09T20:14:26.325645,28.57,0,496.96,1018.854,36.4,22.66,414,0.2,104
6,2024-07-09T20:14:28.616867,28.57,0,497.04,1018.854,36.4,21.56,414,0.2,135
7,2024-07-09T20:14:30.908954,28.57,0,497.04,1018.837,36.4,21.69,414,0.2,127
8,2024-07-09T20:14:33.296882,28.56,0,497.15,1018.831,36.4,21.6,414,0.2,159
9,2024-07-09T20:14:35.588168,28.56,0,497.15,1018.827,36.4,21.6,414,0.2,176
10,2024-07-09T20:14:37.929625,28.56,0,497.2,1018.827,36.4,21.6,418,0.2,150
11,2024-07-09T20:14:40.268238,28.55,0,497.15,1018.827,36.4,21.64,418,0.2,172
12,2024-07-09T20:14:42.559480,28.55,0,497.2,1018.836,36.4,21.6,418,0.2,36
13,2024-07-09T20:14:44.851534,28.55,0,497.61,1018.836,36.4,21.64,418,0.2,104
14,2024-07-09T20:14:47.142278,28.55,0,497.29,1018.843,36.4,20.88,418,0.2,184
15,2024-07-09T20:14:49.433327,28.55,0,497.51,1018.843,36.4,21.67,418,0.2,159
16,2024-07-09T20:14:51.724574,28.55,0,497.57,1018.843,36.4,21.67,418,0.2,77
17,2024-07-09T20:14:54.016782,28.55,0,497.57,1018.843,36.4,22.47,418,0.2,85
18,2024-07-09T20:14:56.307102,28.55,0,497.54,1018.846,36.41,22.47,418,0.2,171
19,2024-07-09T20:14:58.647191,28.54,0,497.54,1018.85,36.41,22.47,418,0.2,114
20,2024-07-09T20:15:00.988261,28.55,0,497.57,1018.85,36.41,22.44,418,0.2,145
21,2024-07-09T20:15:03.278108,28.55,0,497.57,1018.85,36.41,21.71,418,0.2,78
22,2024-07-09T20:15:05.569381,28.55,0,497.64,1018.836,36.41,21.71,418,0.2,83
23,2024-07-09T20:15:07.860858,28.55,0,497.64,1018.836,36.41,21.71,414,0.2,117
24,2024-07-09T20:15:10.201121,28.55,0,497.64,1018.836,36.41,21.26,414,0.2,83
25,2024-07-09T20:15:12.492346,28.55,0,497.64,1018.838,36.41,22.06,414,0.2,144
26,2024-07-09T20:15:14.783444,28.55,0,497.53,1018.853,36.4,22.06,414,0.2,156
27,2024-07-09T20:15:17.074618,28.55,0,497.53,1018.855,36.4,20.83,414,0.2,169
28,2024-07-09T20:15:19.414895,28.55,0,497.51,1018.855,36.4,20.83,414,0.2,70
29,2024-07-09T20:15:21.754974,28.55,0,497.51,1018.855,36.4,22.06,414,0.2,104
30,2024-07-09T20:15:24.046704,28.56,0,497.48,1018.854,36.4,21.39,414,0.2,135
31,2024-07-09T20:15:26.337452,28.55,0,497.36,1018.854,36.41,21.94,414,0.2,87
32,2024-07-09T20:15:28.628691,28.55,0,497.36,1018.825,36.41,22.23,414,0.2,87
33,2024-07-09T20:15:30.971245,28.55,0,497.36,1018.854,36.41,21.94,414,0.2,114
34,2024-07-09T20:15:33.260228,28.54,0,498.03,1018.854,36.41,21.39,414,0.2,209
35,2024-07-09T20:15:35.551452,28.54,0,498.03,1018.869,36.41,20.98,414,0.2,95
36,2024-07-09T20:15:37.843054,28.53,0,498.03,1018.869,36.41,20.8,414,0.2,209
37,2024-07-09T20:15:40.133985,28.53,0,497.57,1018.869,36.41,20.56,414,0.2,154
38,2024-07-09T20:15:42.425135,28.54,0,497.2,1018.862,36.41,20.8,414,0.2,169
39,2024-07-09T20:15:44.716645,28.54,0,497.2,1018.856,36.41,20.8,414,0.2,130
40,2024-07-09T20:15:47.008710,28.53,0,497.2,1018.856,36.41,21.09,414,0.2,93
41,2024-07-09T20:15:49.347692,28.53,0,497.2,1018.856,36.41,21.42,414,0.2,161
42,2024-07-09T20:15:51.639041,28.52,0,497.18,1018.856,36.41,21.89,414,0.2,150
43,2024-07-09T20:15:53.931147,28.52,0,497.18,1018.853,36.41,21.89,414,0.2,154
44,2024-07-09T20:15:56.221541,28.53,0,497.18,1018.838,36.41,22.02,414,0.2,122
45,2024-07-09T20:15:58.512814,28.52,0,497.43,1018.838,36.41,22.02,414,0.2,164
46,2024-07-09T20:16:00.804135,28.52,0,497.43,1018.838,36.43,22.02,414,0.2,104
47,2024-07-09T20:16:03.095533,28.52,0,497.43,1018.838,36.44,22.31,414,0.2,120
48,2024-07-09T20:16:05.386720,28.52,0,496.88,1018.844,36.44,22.54,418,0.2,68
49,2024-07-09T20:16:07.678096,28.52,0,496.88,1018.844,36.44,22.92,418,0.2,139
50,2024-07-09T20:16:09.970582,28.53,0,496.88,1018.844,36.44,23.14,418,0.2,186
51,2024-07-09T20:16:12.260863,28.53,0,497.23,1018.844,36.44,24.71,418,0.2,187
52,2024-07-09T20:16:14.551762,28.53,0,497.36,1018.816,36.43,24.71,418,0.2,147
53,2024-07-09T20:16:16.843509,28.53,0,497.36,1018.816,36.43,23.77,418,0.2,130
54,2024-07-09T20:16:19.134417,28.54,0,497.36,1018.816,36.43,23.77,418,0.2,139
55,2024-07-09T20:16:21.571821,28.54,0,497.18,1018.816,36.43,23.56,418,0.2,139
56,2024-07-09T20:16:23.864035,28.55,0,497.18,1018.82,36.41,23.12,414,0.2,92
57,2024-07-09T20:16:26.154665,28.55,0,497.18,1018.82,36.41,22.16,414,0.2,177
58,2024-07-09T20:16:28.445861,28.55,0,497.26,1018.826,36.41,22.16,414,0.2,80
59,2024-07-09T20:16:30.736972,28.56,0,497.61,1018.826,36.4,22.71,414,0.2,36
60,2024-07-09T20:16:33.029045,28.56,0,497.76,1018.806,36.39,22.71,414,0.2,75
61,2024-07-09T20:16:35.368202,28.56,0,497.76,1018.806,36.38,21.86,409,0.1,87
62,2024-07-09T20:16:37.659468,28.56,0,497.76,1018.826,36.38,22.47,409,0.1,88
63,2024-07-09T20:16:39.951436,28.56,0,497.56,1018.84,36.38,22.45,409,0.1,134
64,2024-07-09T20:16:42.242073,28.55,0,497.15,1018.84,36.38,22.45,409,0.1,142
65,2024-07-09T20:16:44.533447,28.55,0,496.88,1018.84,36.38,22.45,414,0.2,169
66,2024-07-09T20:16:46.825770,28.55,0,496.88,1018.84,36.38,22.47,414,0.2,55
67,2024-07-09T20:16:49.116126,28.54,0,496.88,1018.84,36.38,22.45,414,0.2,181
68,2024-07-09T20:16:51.407384,28.53,0,497.1,1018.835,36.38,22.01,414,0.2,139
69,2024-07-09T20:16:53.698069,28.52,0,497.1,1018.835,36.39,21.5,418,0.2,137
70,2024-07-09T20:16:55.990936,28.51,0,497.1,1018.835,36.39,20.79,418,0.2,68
71,2024-07-09T20:16:58.281315,28.51,0,496.95,1018.835,36.39,20.79,418,0.2,127
72,2024-07-09T20:17:00.571890,28.51,0,496.95,1018.85,36.41,21.49,418,0.2,77
73,2024-07-09T20:17:02.863303,28.51,0,496.95,1018.85,36.41,21.5,418,0.2,55
74,2024-07-09T20:17:05.154411,28.51,0,496.95,1018.85,36.41,22.11,418,0.2,135
75,2024-07-09T20:17:07.446244,28.51,0,496.95,1018.85,36.42,22.11,418,0.2,110
76,2024-07-09T20:17:09.737290,28.52,0,496.88,1018.846,36.42,22.11,418,0.2,156
77,2024-07-09T20:17:12.028530,28.52,0,496.88,1018.831,36.44,21.79,418,0.2,196
78,2024-07-09T20:17:14.319900,28.52,0,496.88,1018.831,36.44,21.79,414,0.2,100
