Unnamed: 0,Timestamp,Temperature(°C),UV index,Ambient light(x),Pressure(mbar),humidity(%),sound level(dB),CO2(ppm),VOCs(ppb),magnetic field(μT)
0,2024-07-09T20:14:14.790211,28.75,0,498.71,1018.587,35.22,20.81,456,0.8,112
1,2024-07-09T20:14:17.126706,28.76,0,499.15,1018.587,35.22,21.8,456,0.8,-189
2,2024-07-09T20:14:19.418560,28.76,0,499.43,1018.587,35.22,21.8,456,0.8,203
3,2024-07-09T20:14:21.709281,28.76,0,499.52,1018.573,35.22,22.78,456,0.8,196
4,2024-07-09T20:14:24.001409,28.77,0,499.52,1018.573,35.22,22.78,456,0.8,159
5,2024-07-09T20:14:26.291852,28.76,0,499.81,1018.573,35.22,21.3,456,0.8,129
6,2024-07-09T20:14:28.583073,28.76,0,499.81,1018.573,35.22,21.3,456,0.8,161
7,2024-07-09T20:14:30.875073,28.76,0,499.81,1018.563,35.22,21.57,456,0.8,181
8,2024-07-09T20:14:33.165633,28.76,0,499.81,1018.563,35.22,20.39,452,0.7,152
9,2024-07-09T20:14:35.456871,28.76,0,500.06,1018.563,35.22,21.57,452,0.7,139
10,2024-07-09T20:14:37.748146,28.76,0,499.94,1018.558,35.22,21.81,452,0.7,161
11,2024-07-09T20:14:40.040324,28.76,0,499.94,1018.552,35.22,21.81,452,0.7,109
12,2024-07-09T20:14:42.330693,28.76,0,499.94,1018.552,35.21,21.65,452,0.7,135
13,2024-07-09T20:14:44.622041,28.76,0,499.94,1018.552,35.21,22.03,456,0.8,95
14,2024-07-09T20:14:46.913798,28.76,0,499.94,1018.558,35.21,21.65,456,0.8,70
15,2024-07-09T20:14:49.204537,28.77,0,500.0,1018.56,35.21,21.65,456,0.8,169
16,2024-07-09T20:14:51.495876,28.77,0,500.0,1018.59,35.2,21.06,456,0.8,100
17,2024-07-09T20:14:53.787183,28.77,0,500.09,1018.56,35.2,21.06,452,0.7,100
18,2024-07-09T20:14:56.079006,28.77,0,500.06,1018.56,35.2,21.06,452,0.7,186
19,2024-07-09T20:14:58.369618,28.77,0,500.06,1018.577,35.2,21.06,452,0.7,97
20,2024-07-09T20:15:00.709668,28.77,0,500.09,1018.577,35.2,21.06,452,0.7,164
21,2024-07-09T20:15:03.001593,28.77,0,500.06,1018.577,35.2,21.06,452,0.7,80
22,2024-07-09T20:15:05.292196,28.77,0,500.06,1018.577,35.2,21.12,452,0.7,114
23,2024-07-09T20:15:07.583487,28.77,0,500.22,1018.577,35.2,21.06,452,0.7,95
24,2024-07-09T20:15:09.875578,28.77,0,500.83,1018.577,35.19,21.5,452,0.7,144
25,2024-07-09T20:15:12.166025,28.77,0,500.83,1018.552,35.19,21.5,452,0.7,127
26,2024-07-09T20:15:14.457303,28.76,0,500.83,1018.552,35.19,21.65,452,0.7,167
27,2024-07-09T20:15:16.748611,28.76,0,500.17,1018.552,35.19,22.35,452,0.7,-201
28,2024-07-09T20:15:19.040436,28.76,0,500.17,1018.552,35.19,22.35,452,0.7,164
29,2024-07-09T20:15:21.331104,28.74,0,499.97,1018.555,35.19,22.35,452,0.7,11
30,2024-07-09T20:15:23.622402,28.74,0,499.97,1018.555,35.19,22.35,452,0.7,172
31,2024-07-09T20:15:25.914383,28.74,0,500.17,1018.555,35.19,22.35,452,0.7,92
32,2024-07-09T20:15:28.205425,28.76,0,500.17,1018.555,35.19,22.19,452,0.7,161
33,2024-07-09T20:15:30.496263,28.76,0,500.31,1018.558,35.19,22.19,452,0.7,177
34,2024-07-09T20:15:32.788323,28.76,0,500.31,1018.56,35.2,22.19,452,0.7,97
35,2024-07-09T20:15:35.127503,28.74,0,500.31,1018.547,35.2,21.2,452,0.7,147
36,2024-07-09T20:15:37.516331,28.74,0,500.31,1018.547,35.2,21.16,452,0.7,125
37,2024-07-09T20:15:39.808365,28.74,0,499.97,1018.547,35.2,20.84,452,0.7,85
38,2024-07-09T20:15:42.099757,28.74,0,499.97,1018.547,35.22,20.7,452,0.7,211
39,2024-07-09T20:15:44.390153,28.74,0,499.97,1018.547,35.22,20.7,452,0.8,127
40,2024-07-09T20:15:46.681420,28.72,0,499.97,1018.539,35.22,20.84,456,0.8,152
41,2024-07-09T20:15:48.973531,28.72,0,499.94,1018.539,35.22,22.77,456,0.8,150
42,2024-07-09T20:15:51.264012,28.72,0,499.97,1018.535,35.22,23.22,456,0.8,104
43,2024-07-09T20:15:53.652767,28.71,0,499.97,1018.535,35.22,23.22,452,0.7,167
44,2024-07-09T20:15:56.042353,28.72,0,499.97,1018.533,35.22,23.22,452,0.7,112
45,2024-07-09T20:15:58.332773,28.74,0,500.56,1018.533,35.22,23.63,452,0.7,162
46,2024-07-09T20:16:00.624059,28.74,0,500.56,1018.533,35.22,23.25,452,0.7,75
47,2024-07-09T20:16:02.915686,28.74,0,500.56,1018.556,35.22,23.25,452,0.7,63
48,2024-07-09T20:16:05.353199,28.74,0,499.8,1018.556,35.22,24.22,452,0.7,156
49,2024-07-09T20:16:07.644114,28.74,0,499.75,1018.556,35.22,24.22,452,0.7,100
50,2024-07-09T20:16:09.936121,28.75,0,499.75,1018.549,35.24,25.08,452,0.7,120
51,2024-07-09T20:16:12.276822,28.76,0,499.75,1018.549,35.24,25.08,452,0.7,181
52,2024-07-09T20:16:14.664179,28.76,0,499.75,1018.549,35.22,24.92,456,0.8,184
53,2024-07-09T20:16:16.955768,28.76,0,499.8,1018.549,35.22,24.07,456,0.8,161
54,2024-07-09T20:16:19.246805,28.77,0,499.8,1018.547,35.22,24.07,456,0.8,154
55,2024-07-09T20:16:21.538034,28.78,0,499.8,1018.547,35.22,24.07,456,0.8,134
56,2024-07-09T20:16:23.830332,28.78,0,499.8,1018.514,35.22,23.9,456,0.8,117
57,2024-07-09T20:16:26.120704,28.78,0,499.94,1018.514,35.22,23.25,456,0.8,150
58,2024-07-09T20:16:28.411870,28.79,0,500.19,1018.553,35.21,23.02,456,0.8,154
59,2024-07-09T20:16:30.703174,28.79,0,500.45,1018.553,35.19,23.25,456,0.8,144
60,2024-07-09T20:16:32.995853,28.79,0,500.45,1018.553,35.19,23.02,452,0.7,63
61,2024-07-09T20:16:35.285694,28.79,0,500.45,1018.553,35.18,22.81,452,0.7,145
62,2024-07-09T20:16:37.576972,28.76,0,500.2,1018.553,35.17,22.81,452,0.7,127
63,2024-07-09T20:16:39.869856,28.76,0,500.0,1018.535,35.17,22.81,452,0.7,194
64,2024-07-09T20:16:42.160032,28.76,0,500.0,1018.528,35.17,22.81,452,0.7,112
65,2024-07-09T20:16:44.450921,28.76,0,499.86,1018.528,35.17,22.81,452,0.7,-203
66,2024-07-09T20:16:46.742354,28.76,0,499.86,1018.528,35.17,22.87,456,0.8,122
67,2024-07-09T20:16:49.033488,28.75,0,499.86,1018.534,35.17,22.59,456,0.8,135
68,2024-07-09T20:16:51.324656,28.75,0,499.86,1018.561,35.17,22.87,456,0.8,171
69,2024-07-09T20:16:53.615915,28.74,0,499.86,1018.561,35.17,21.21,456,0.8,112
70,2024-07-09T20:16:55.956330,28.74,0,499.57,1018.561,35.17,22.39,456,0.8,171
71,2024-07-09T20:16:58.247164,28.74,0,499.57,1018.548,35.19,22.25,456,0.8,139
72,2024-07-09T20:17:00.538467,28.74,0,499.57,1018.548,35.2,22.25,456,0.8,-191
