Unnamed: 0,Timestamp,Temperature(°C),UV index,Ambient light(x),Pressure(mbar),humidity(%),sound level(dB),CO2(ppm),VOCs(ppb),magnetic field(μT)
0,2024-07-11T03:19:46.252980,32.38,0,488.44,1018.79,27.59,20.09,405,0.0,204
1,2024-07-11T03:19:48.550939,32.4,0,488.44,1018.79,27.59,20.55,405,0.0,117
2,2024-07-11T03:19:50.891115,32.4,0,488.44,1018.79,27.59,20.56,405,0.0,177
3,2024-07-11T03:19:53.182204,32.4,0,488.09,1018.79,27.59,20.75,405,0.0,117
4,2024-07-11T03:19:55.473451,32.38,0,487.72,1018.79,27.56,20.56,405,0.0,194
5,2024-07-11T03:19:57.765763,32.38,0,487.69,1018.797,27.56,21.51,405,0.0,41
6,2024-07-11T03:20:00.055953,32.38,0,487.69,1018.8,27.56,21.51,408,0.1,164
7,2024-07-11T03:20:02.347331,32.38,0,487.69,1018.808,27.56,21.51,408,0.1,161
8,2024-07-11T03:20:04.639412,32.38,0,487.94,1018.808,27.56,20.7,408,0.1,-199
9,2024-07-11T03:20:06.930026,32.38,0,487.94,1018.8,27.56,21.12,408,0.1,203
10,2024-07-11T03:20:09.221074,32.37,0,487.94,1018.79,27.53,20.75,408,0.1,109
11,2024-07-11T03:20:11.561653,32.37,0,487.81,1018.79,27.53,21.12,405,0.0,176
12,2024-07-11T03:20:13.951123,32.37,0,487.75,1018.79,27.53,21.12,405,0.0,-206
13,2024-07-11T03:20:16.241303,32.34,0,487.75,1018.798,27.54,21.12,405,0.0,52
14,2024-07-11T03:20:18.533134,32.34,0,487.75,1018.798,27.54,21.09,405,0.0,154
15,2024-07-11T03:20:20.824427,32.34,0,487.69,1018.798,27.54,21.62,408,0.1,181
16,2024-07-11T03:20:23.115004,32.35,0,487.69,1018.798,27.56,22.09,408,0.1,154
17,2024-07-11T03:20:25.406247,32.37,0,487.63,1018.798,27.56,22.09,408,0.1,145
18,2024-07-11T03:20:27.747036,32.37,0,487.63,1018.807,27.56,22.09,408,0.1,184
19,2024-07-11T03:20:30.037485,32.39,0,487.38,1018.807,27.56,22.09,405,0.0,176
20,2024-07-11T03:20:32.329377,32.39,0,487.63,1018.807,27.56,21.9,405,0.0,135
21,2024-07-11T03:20:34.620860,32.41,0,487.63,1018.81,27.54,21.9,405,0.0,187
22,2024-07-11T03:20:36.911419,32.41,0,487.69,1018.811,27.54,21.04,405,0.0,144
23,2024-07-11T03:20:39.202578,32.41,0,487.69,1018.811,27.54,20.97,405,0.0,-197
24,2024-07-11T03:20:41.493853,32.41,0,487.69,1018.811,27.54,20.97,405,0.0,112
25,2024-07-11T03:20:43.785317,32.41,0,487.33,1018.811,27.53,21.23,405,0.0,-192
26,2024-07-11T03:20:46.076408,32.42,0,487.33,1018.811,27.53,21.23,405,0.0,150
27,2024-07-11T03:20:48.367594,32.42,0,487.33,1018.821,27.53,21.23,405,0.0,53
28,2024-07-11T03:20:50.659352,32.42,0,487.63,1018.821,27.53,21.28,405,0.0,181
29,2024-07-11T03:20:52.950200,32.42,0,487.72,1018.821,27.53,21.53,405,0.0,164
30,2024-07-11T03:20:55.242170,32.42,0,488.12,1018.815,27.53,21.78,405,0.0,161
31,2024-07-11T03:20:57.532765,32.42,0,488.12,1018.815,27.52,21.28,405,0.0,194
32,2024-07-11T03:20:59.824185,32.41,0,488.22,1018.815,27.52,21.78,405,0.0,162
33,2024-07-11T03:21:02.115256,32.41,0,488.12,1018.815,27.5,21.78,405,0.0,117
34,2024-07-11T03:21:04.406533,32.38,0,488.09,1018.812,27.5,22.32,405,0.0,125
35,2024-07-11T03:21:06.698619,32.37,0,487.72,1018.811,27.5,21.22,405,0.0,156
36,2024-07-11T03:21:08.989132,32.37,0,487.72,1018.811,27.5,21.11,405,0.0,189
37,2024-07-11T03:21:11.280406,32.37,0,487.63,1018.81,27.5,21.11,405,0.0,167
38,2024-07-11T03:21:13.571680,32.35,0,487.36,1018.793,27.52,21.42,400,0.0,181
39,2024-07-11T03:21:15.863202,32.34,0,487.33,1018.793,27.53,21.42,400,0.0,187
